Industry,Company,Contact_Party,Contact_Type,Cat 1,Cat 2,Cat 3,Cat 4,Cat 1 Label,Cat 2 Label,Cat 3 Label,Cat 4 Label
E-Commerce,Alibaba,Customer,External,4,1,3,1,Customer Support & Query Resolution,Conversational AI,Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,Shopee,Customer,External,2,1,1,1,Personalization & Engagement,Conversational AI,Awareness & Brand Discovery,Text-to-Text AI
E-Commerce,Shopee,Customer,External,2,1,2,1,Personalization & Engagement,Conversational AI,Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,Shopee,Customer,External,2,1,3,1,Personalization & Engagement,Conversational AI,Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,Shopee,Customer,External,2,4,1,1,Personalization & Engagement,Process Automation (RPA),Awareness & Brand Discovery,Text-to-Text AI
E-Commerce,Shopee,Customer,External,2,4,2,1,Personalization & Engagement,Process Automation (RPA),Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,Shopee,Customer,External,2,4,3,1,Personalization & Engagement,Process Automation (RPA),Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,Shopee,Customer,External,4,1,1,1,Customer Support & Query Resolution,Conversational AI,Awareness & Brand Discovery,Text-to-Text AI
E-Commerce,Shopee,Customer,External,4,1,2,1,Customer Support & Query Resolution,Conversational AI,Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,Shopee,Customer,External,4,1,3,1,Customer Support & Query Resolution,Conversational AI,Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,Shopee,Customer,External,4,4,1,1,Customer Support & Query Resolution,Process Automation (RPA),Awareness & Brand Discovery,Text-to-Text AI
E-Commerce,Shopee,Customer,External,4,4,2,1,Customer Support & Query Resolution,Process Automation (RPA),Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,Shopee,Customer,External,4,4,3,1,Customer Support & Query Resolution,Process Automation (RPA),Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,1,1,1,Personalization & Engagement,Conversational AI,Awareness & Brand Discovery,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,1,1,3,Personalization & Engagement,Conversational AI,Awareness & Brand Discovery,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,2,1,1,4,Personalization & Engagement,Conversational AI,Awareness & Brand Discovery,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,1,2,1,Personalization & Engagement,Conversational AI,Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,1,2,3,Personalization & Engagement,Conversational AI,Consideration & Purchase Decision-Making,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,2,1,2,4,Personalization & Engagement,Conversational AI,Consideration & Purchase Decision-Making,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,1,3,1,Personalization & Engagement,Conversational AI,Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,1,3,3,Personalization & Engagement,Conversational AI,Service Usage & Ongoing Support,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,2,1,3,4,Personalization & Engagement,Conversational AI,Service Usage & Ongoing Support,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,2,1,1,Personalization & Engagement,Multi-Agent System,Awareness & Brand Discovery,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,2,1,3,Personalization & Engagement,Multi-Agent System,Awareness & Brand Discovery,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,2,2,1,4,Personalization & Engagement,Multi-Agent System,Awareness & Brand Discovery,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,2,2,1,Personalization & Engagement,Multi-Agent System,Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,2,2,3,Personalization & Engagement,Multi-Agent System,Consideration & Purchase Decision-Making,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,2,2,2,4,Personalization & Engagement,Multi-Agent System,Consideration & Purchase Decision-Making,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,2,3,1,Personalization & Engagement,Multi-Agent System,Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,2,3,3,Personalization & Engagement,Multi-Agent System,Service Usage & Ongoing Support,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,2,2,3,4,Personalization & Engagement,Multi-Agent System,Service Usage & Ongoing Support,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,3,1,1,Personalization & Engagement,Multimodal AI,Awareness & Brand Discovery,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,3,1,3,Personalization & Engagement,Multimodal AI,Awareness & Brand Discovery,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,2,3,1,4,Personalization & Engagement,Multimodal AI,Awareness & Brand Discovery,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,3,2,1,Personalization & Engagement,Multimodal AI,Consideration & Purchase Decision-Making,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,3,2,3,Personalization & Engagement,Multimodal AI,Consideration & Purchase Decision-Making,Text-to-Voice AI
E-Commerce,COGNIGY,Customer,External,2,3,2,4,Personalization & Engagement,Multimodal AI,Consideration & Purchase Decision-Making,Voice-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,3,3,1,Personalization & Engagement,Multimodal AI,Service Usage & Ongoing Support,Text-to-Text AI
E-Commerce,COGNIGY,Customer,External,2,3,3,3,Personalization & Engagement,Multimodal AI,Service Usage & Ongoing Support,Text-to-Voice AI
